sample_index,monotonic_s,elapsed_s,rail,power_w,voltage_mv,current_ma,source_path
10775,37756.320078745,10800.073046405996,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10776,37757.322643059,10801.07561072,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10777,37758.324946502,10802.077914162997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10778,37759.327363932,10803.080331593002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10779,37760.329291301,10804.082258962,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10780,37761.331517432,10805.084485093,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10781,37762.336098896,10806.089066556997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10782,37763.338405382,10807.091373042997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10783,37764.34040594,10808.093373600997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10784,37765.34214633,10809.095113990996,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10785,37766.343895073,10810.096862733997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10786,37767.345939154,10811.098906815001,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10787,37768.348198057,10812.101165717999,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10788,37769.350299101,10813.103266762002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10789,37770.352125193,10814.105092853999,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10790,37771.354114618,10815.107082278999,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10791,37772.356545145,10816.109512805997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10792,37773.359044123,10817.112011783996,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10793,37774.361388536,10818.114356197002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10794,37775.363606931,10819.116574592,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10795,37776.366074453,10820.119042113998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10796,37777.368619994,10821.121587654998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10797,37778.370844471,10822.123812131998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10798,37779.373101173,10823.126068833997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10799,37780.375058315,10824.128025976002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10800,37781.377323466,10825.130291126996,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10801,37782.379343107,10826.132310768,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10802,37783.381765416,10827.134733077,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10803,37784.383623485,10828.136591146002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10804,37785.385679929,10829.13864759,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10805,37786.387728757,10830.140696417999,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10806,37787.389452264,10831.142419924996,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10807,37788.393630404,10832.146598065003,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10808,37789.396145007,10833.149112667998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10809,37790.39860953,10834.151577190998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10810,37791.400587894,10835.153555555,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10811,37792.402356525,10836.155324186002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10812,37793.404068195,10837.157035855998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10813,37794.405930174,10838.158897834997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10814,37795.408186662,10839.161154323003,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10815,37796.409866652,10840.162834313,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10816,37797.41155714,10841.164524801003,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10817,37798.413258284,10842.166225945002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10818,37799.415478261,10843.168445921998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10819,37800.417259825,10844.170227486,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10820,37801.41904123,10845.172008891,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10821,37802.42080193,10846.173769590998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10822,37803.422638281,10847.175605942,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10823,37804.424329477,10848.177297137998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10824,37805.426516912,10849.179484572996,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10825,37806.430495312,10850.183462973,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10826,37807.432877858,10851.185845519001,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10827,37808.434846504,10852.187814165001,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10828,37809.436745932,10853.189713592998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10829,37810.438467468,10854.191435128996,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10830,37811.440976548,10855.193944209,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10831,37812.443314583,10856.196282243996,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10832,37813.445535431,10857.198503091997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10833,37814.4474796,10858.200447260999,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10834,37815.450137006,10859.203104667002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10835,37816.452713611,10860.205681271997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10836,37817.455070657,10861.208038318,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10837,37818.456812646,10862.209780307,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10838,37819.458771218,10863.211738879,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10839,37820.461041575,10864.214009235999,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10840,37821.463072214,10865.216039874998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10841,37822.464885983,10866.217853643997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10842,37823.466481987,10867.219449648,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10843,37824.468893054,10868.221860714999,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10844,37825.470903951,10869.223871611997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10845,37826.472927808,10870.225895468997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10846,37827.474636393,10871.227604054002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10847,37828.476910883,10872.229878544,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10848,37829.479651307,10873.232618968002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
